package	function	summary	language	source_url	doc_path	fetched_at
omicverse	omicverse.metabol.plsda	Partial Least Squares Discriminant Analysis (wraps sklearn PLS).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.plsda.html	references/omicverse/functions/omicverse.metabol.plsda.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.pyMetabo	Lifecycle class for a metabolomics analysis.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.pyMetabo.html	references/omicverse/functions/omicverse.metabol.pyMetabo.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.read_lcms	Load an LC-MS peak table with m/z / RT feature IDs into AnnData.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.read_lcms.html	references/omicverse/functions/omicverse.metabol.read_lcms.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.read_metaboanalyst	Load a MetaboAnalyst-format CSV into AnnData.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.read_metaboanalyst.html	references/omicverse/functions/omicverse.metabol.read_metaboanalyst.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.read_wide	Load a generic wide (samples × metabolites) table into AnnData.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.read_wide.html	references/omicverse/functions/omicverse.metabol.read_wide.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.roc_feature	Per-feature AUC for a binary class.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.roc_feature.html	references/omicverse/functions/omicverse.metabol.roc_feature.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.run_mofa	Train MOFA+ on sample-aligned metabolomics + other-omics views.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.run_mofa.html	references/omicverse/functions/omicverse.metabol.run_mofa.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.s_plot	OPLS-DA S-plot: p(cov) vs p(corr), i.e. covariance vs correlation between each feature and the predictive component.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.s_plot.html	references/omicverse/functions/omicverse.metabol.s_plot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.sample_qc	Hotelling T-squared + DModX sample-level outlier detection.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.sample_qc.html	references/omicverse/functions/omicverse.metabol.sample_qc.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.sample_qc_plot	Scatter of Hotelling T² vs DModX with critical-value lines.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.sample_qc_plot.html	references/omicverse/functions/omicverse.metabol.sample_qc_plot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.serrf	SERRF — QC-based Random Forest drift correction (Fan 2019).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.serrf.html	references/omicverse/functions/omicverse.metabol.serrf.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.pyMetabo.significant_metabolites	Filter self.deg_table to padj < padj_thresh and |log2fc| ≥ log2fc_thresh .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.pyMetabo.significant_metabolites.html	references/omicverse/functions/omicverse.metabol.pyMetabo.significant_metabolites.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.transform	Apply a feature-level transformation to adata.X .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.transform.html	references/omicverse/functions/omicverse.metabol.transform.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.vip_bar	Horizontal bar chart of top- top_n VIP metabolites.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.vip_bar.html	references/omicverse/functions/omicverse.metabol.vip_bar.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.pyMetabo.vip_table	Return VIP scores per metabolite — requires a prior PLS-DA / OPLS-DA fit.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.pyMetabo.vip_table.html	references/omicverse/functions/omicverse.metabol.pyMetabo.vip_table.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.metabol.volcano	Metabolomics volcano plot — log2FC vs -log10(padj) (or pvalue).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.metabol.volcano.html	references/omicverse/functions/omicverse.metabol.volcano.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Alpha	Compute and store per-sample alpha-diversity metrics on adata.obs .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Alpha.html	references/omicverse/functions/omicverse.micro.Alpha.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.DA.ancombc	ANCOM-BC via skbio.stats.composition.ancombc (skbio ≥ 0.7.1).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.DA.ancombc.html	references/omicverse/functions/omicverse.micro.DA.ancombc.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.attach_tree	Attach a phylogenetic tree to adata.uns[store_key] .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.attach_tree.html	references/omicverse/functions/omicverse.micro.attach_tree.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Beta	Compute sample × sample distance matrices.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Beta.html	references/omicverse/functions/omicverse.micro.Beta.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Beta.braycurtis	Bray-Curtis dissimilarity matrix (samples × samples).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Beta.braycurtis.html	references/omicverse/functions/omicverse.micro.Beta.braycurtis.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.clr	CLR transform: log(x_i) - mean(log(x)) per sample (post pseudo-count).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.clr.html	references/omicverse/functions/omicverse.micro.clr.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.collapse_taxa	Collapse ASVs to a taxonomic rank.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.collapse_taxa.html	references/omicverse/functions/omicverse.micro.collapse_taxa.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.combine_studies	Stitch a list of per-study AnnDatas into a single cross-cohort table.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.combine_studies.html	references/omicverse/functions/omicverse.micro.combine_studies.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.MMvec.conditional_probabilities	Per-microbe P(metabolite | microbe) — softmax of U @ V.T + β .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.MMvec.conditional_probabilities.html	references/omicverse/functions/omicverse.micro.MMvec.conditional_probabilities.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.MMvec.cooccurrence	Raw log-odds co-occurrence matrix U · Vᵀ (microbes × metabolites).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.MMvec.cooccurrence.html	references/omicverse/functions/omicverse.micro.MMvec.cooccurrence.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.DA	Per-feature differential abundance across sample groups.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.DA.html	references/omicverse/functions/omicverse.micro.DA.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.DA.deseq2	Differential abundance via pyDESeq2 (negative-binomial GLM).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.DA.deseq2.html	references/omicverse/functions/omicverse.micro.DA.deseq2.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.fetch_franzosa_ibd_2019	Download + parse the Franzosa et al. 2019 paired IBD dataset.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.fetch_franzosa_ibd_2019.html	references/omicverse/functions/omicverse.micro.fetch_franzosa_ibd_2019.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.filter_by_prevalence	Filter rare features by prevalence.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.filter_by_prevalence.html	references/omicverse/functions/omicverse.micro.filter_by_prevalence.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.MMvec.fit	Fit MMvec on paired microbe / metabolite count tables and return self .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.MMvec.fit.html	references/omicverse/functions/omicverse.micro.MMvec.fit.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.ilr	ILR transform — orthonormal coordinate system after closure removal.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.ilr.html	references/omicverse/functions/omicverse.micro.ilr.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.meta_da	Per-study DA + inverse-variance meta-analysis.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.meta_da.html	references/omicverse/functions/omicverse.micro.meta_da.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.MMvec	MMvec (Morton et al. 2019) in ~80 lines of PyTorch.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.MMvec.html	references/omicverse/functions/omicverse.micro.MMvec.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Ordinate.nmds	Non-metric multi-dimensional scaling on the distance matrix.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Ordinate.nmds.html	references/omicverse/functions/omicverse.micro.Ordinate.nmds.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Alpha.observed	Per-sample observed-OTU count.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Alpha.observed.html	references/omicverse/functions/omicverse.micro.Alpha.observed.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Ordinate	Reduce a sample × sample distance matrix to 2-D / 3-D coords.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Ordinate.html	references/omicverse/functions/omicverse.micro.Ordinate.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.paired_cca	Run sklearn CCA on the paired tables.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.paired_cca.html	references/omicverse/functions/omicverse.micro.paired_cca.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.paired_spearman	Rank correlation between every (microbe, metabolite) pair.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.paired_spearman.html	references/omicverse/functions/omicverse.micro.paired_spearman.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Ordinate.pcoa	Principal coordinates analysis.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Ordinate.pcoa.html	references/omicverse/functions/omicverse.micro.Ordinate.pcoa.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.plot_embedding_biplot	Biplot of microbe + metabolite embeddings in the MMvec latent space.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.plot_embedding_biplot.html	references/omicverse/functions/omicverse.micro.plot_embedding_biplot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.plot_mmvec_training	Training (and validation) loss curve for a fitted MMvec .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.plot_mmvec_training.html	references/omicverse/functions/omicverse.micro.plot_mmvec_training.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Ordinate.proportion_explained	Eigenvalue proportions from the most recent PCoA call.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Ordinate.proportion_explained.html	references/omicverse/functions/omicverse.micro.Ordinate.proportion_explained.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.rarefy	Rarefy counts to a common depth.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.rarefy.html	references/omicverse/functions/omicverse.micro.rarefy.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Alpha.run	Compute the requested alpha metrics.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Alpha.run.html	references/omicverse/functions/omicverse.micro.Alpha.run.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.Alpha.shannon	Per-sample Shannon entropy.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.Alpha.shannon.html	references/omicverse/functions/omicverse.micro.Alpha.shannon.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.simulate_paired	Build a paired microbe + metabolite cohort with planted producer pairs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.simulate_paired.html	references/omicverse/functions/omicverse.micro.simulate_paired.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.MMvec.top_pairs	Top- n (microbe, metabolite) pairs ranked by |log-odds| .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.MMvec.top_pairs.html	references/omicverse/functions/omicverse.micro.MMvec.top_pairs.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.micro.DA.wilcoxon	Two-group Mann-Whitney U test per feature.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.micro.DA.wilcoxon.html	references/omicverse/functions/omicverse.micro.DA.wilcoxon.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.bin2cell	Aggregate binned Visium signals into cell-level profiles.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.bin2cell.html	references/omicverse/functions/omicverse.space.bin2cell.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.Cal_Spatial_Net	Construct spatial neighbor networks for spatial integration.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.Cal_Spatial_Net.html	references/omicverse/functions/omicverse.space.Cal_Spatial_Net.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.calculate_gene_signature	Build a marker-gene signature table for each cell type in a reference scRNA-seq dataset.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.calculate_gene_signature.html	references/omicverse/functions/omicverse.space.calculate_gene_signature.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.CAST	CAST (Cell Annotation for Spatial Transcriptomics) embedding for multiple spatial samples.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.CAST.html	references/omicverse/functions/omicverse.space.CAST.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.cellcharter	Run a minimal CellCharter workflow on a spatial AnnData object.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.cellcharter.html	references/omicverse/functions/omicverse.space.cellcharter.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.CellLoc	SpatRio CellLoc class for probabilistic cell localization.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.CellLoc.html	references/omicverse/functions/omicverse.space.CellLoc.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.CellMap	SpatRio CellMap class for mapping single cells to spatial coordinates.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.CellMap.html	references/omicverse/functions/omicverse.space.CellMap.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.clusters	Perform clustering analysis on spatial transcriptomics data using multiple methods.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.clusters.html	references/omicverse/functions/omicverse.space.clusters.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.create_communication_anndata	Build a CellChat-style communication AnnData from commot outputs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.create_communication_anndata.html	references/omicverse/functions/omicverse.space.create_communication_anndata.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.crop_space_visium	Crop Visium spatial data to a specific region of interest.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.crop_space_visium.html	references/omicverse/functions/omicverse.space.crop_space_visium.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.Deconvolution	Spatial deconvolution pipeline that aligns scRNA-seq references with spatial transcriptomics.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.Deconvolution.html	references/omicverse/functions/omicverse.space.Deconvolution.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.GASTON	GASTON spatial depth estimation and clustering.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.GASTON.html	references/omicverse/functions/omicverse.space.GASTON.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.map_spatial_auto	Automatically map and align spatial transcriptomics data.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.map_spatial_auto.html	references/omicverse/functions/omicverse.space.map_spatial_auto.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.map_spatial_manual	Manually adjust spatial transcriptomics data alignment.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.map_spatial_manual.html	references/omicverse/functions/omicverse.space.map_spatial_manual.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.merge_cluster	Merge clusters based on hierarchical clustering of their representation.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.merge_cluster.html	references/omicverse/functions/omicverse.space.merge_cluster.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.moranI	Compute Moran’s I spatial autocorrelation for gene expression.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.moranI.html	references/omicverse/functions/omicverse.space.moranI.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.nmf_tissue_zones	Discover tissue zones via NMF on a per-spot cell-abundance matrix.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.nmf_tissue_zones.html	references/omicverse/functions/omicverse.space.nmf_tissue_zones.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.pySpaceFlow	SpaceFlow spatial flow analysis class.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.pySpaceFlow.html	references/omicverse/functions/omicverse.space.pySpaceFlow.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.pySTAGATE	A class representing the PyTorch implementation of STAGATE (Spatial Transcriptomics Analysis using Graph Attention autoEncoder).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.pySTAGATE.html	references/omicverse/functions/omicverse.space.pySTAGATE.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.pySTAligner	STAligner for spatial transcriptomics data integration.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.pySTAligner.html	references/omicverse/functions/omicverse.space.pySTAligner.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.read_visium_10x	Read and standardize 10x Visium data with bin2cell-compatible loader.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.read_visium_10x.html	references/omicverse/functions/omicverse.space.read_visium_10x.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.rotate_space_visium	Rotate Visium spatial data image and coordinates by a specified angle.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.rotate_space_visium.html	references/omicverse/functions/omicverse.space.rotate_space_visium.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.salvage_secondary_labels	Merge primary and secondary segmentation labels.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.salvage_secondary_labels.html	references/omicverse/functions/omicverse.space.salvage_secondary_labels.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.spatial_autocorr	Compute spatial autocorrelation statistics for gene expression.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.spatial_autocorr.html	references/omicverse/functions/omicverse.space.spatial_autocorr.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.spatial_neighbors	Build a spatial neighborhood graph from coordinates stored in adata.obsm .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.spatial_neighbors.html	references/omicverse/functions/omicverse.space.spatial_neighbors.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.STT	Spatial Transition Tensor (STT) analysis class.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.STT.html	references/omicverse/functions/omicverse.space.STT.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.svg	Identify spatially variable genes using multiple methods.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.svg.html	references/omicverse/functions/omicverse.space.svg.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.sync_visium_hd_seg_geometries	"Synchronize adata.uns[""spatial""][sample][""geometries""] with current adata.obs_names ."	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.sync_visium_hd_seg_geometries.html	references/omicverse/functions/omicverse.space.sync_visium_hd_seg_geometries.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.Tangram	Tangram spatial deconvolution class for cell type mapping.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.Tangram.html	references/omicverse/functions/omicverse.space.Tangram.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.update_classification_from_database	Update communication interaction annotations from commot database metadata.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.update_classification_from_database.html	references/omicverse/functions/omicverse.space.update_classification_from_database.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.visium_10x_hd_cellpose_expand	Expand segmentation labels from nuclei to nearby bins.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.visium_10x_hd_cellpose_expand.html	references/omicverse/functions/omicverse.space.visium_10x_hd_cellpose_expand.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.visium_10x_hd_cellpose_gex	Run expression-image segmentation and map labels back to spatial bins.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.visium_10x_hd_cellpose_gex.html	references/omicverse/functions/omicverse.space.visium_10x_hd_cellpose_gex.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.space.visium_10x_hd_cellpose_he	Convert Visium 10x data to cell-level data.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.space.visium_10x_hd_cellpose_he.html	references/omicverse/functions/omicverse.space.visium_10x_hd_cellpose_he.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.bulk2single.Bulk2Single	VAE-based bulk-to-single framework for reconstructing pseudo single cells from bulk RNA-seq.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.bulk2single.Bulk2Single.html	references/omicverse/functions/omicverse.bulk2single.Bulk2Single.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.bulk2single.bulk2single_plot_cellprop	Plot cell-type proportions in generated single-cell data.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.bulk2single.bulk2single_plot_cellprop.html	references/omicverse/functions/omicverse.bulk2single.bulk2single_plot_cellprop.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.bulk2single.bulk2single_plot_correlation	Plot correlation matrix between reference and generated single-cell data.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.bulk2single.bulk2single_plot_correlation.html	references/omicverse/functions/omicverse.bulk2single.bulk2single_plot_correlation.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.bulk2single.BulkTrajBlend	Integrate bulk and single-cell information to infer transitional cell-state trajectories.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.bulk2single.BulkTrajBlend.html	references/omicverse/functions/omicverse.bulk2single.BulkTrajBlend.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.bulk2single.Single2Spatial	Deep-learning mapper that projects single-cell profiles onto spatial coordinates.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.bulk2single.Single2Spatial.html	references/omicverse/functions/omicverse.bulk2single.Single2Spatial.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.add_density_contour	Add KDE-based density contours to an existing matplotlib plot.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.add_density_contour.html	references/omicverse/functions/omicverse.pl.add_density_contour.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.add_palue	Add p-value annotation with connecting line to a matplotlib plot.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.add_palue.html	references/omicverse/functions/omicverse.pl.add_palue.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.add_pie2spatial	Overlay per-spot pie charts of cell-type composition on a spatial map.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.add_pie2spatial.html	references/omicverse/functions/omicverse.pl.add_pie2spatial.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.add_streamplot	Overlay velocity streamlines on a low-dimensional embedding.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.add_streamplot.html	references/omicverse/functions/omicverse.pl.add_streamplot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.branch_streamplot	Render a branch-aware pseudotime stream plot.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.branch_streamplot.html	references/omicverse/functions/omicverse.pl.branch_streamplot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.bardotplot	Create a combined bar-and-dot summary plot by groups.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.bardotplot.html	references/omicverse/functions/omicverse.pl.bardotplot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.boxplot	Create a boxplot with jittered points to visualize data distribution across categories.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.boxplot.html	references/omicverse/functions/omicverse.pl.boxplot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.calculate_gene_density	Calculate weighted kernel density estimates for gene expression on 2D embeddings.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.calculate_gene_density.html	references/omicverse/functions/omicverse.pl.calculate_gene_density.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.ccc_heatmap	Plot communication matrices as heatmaps, dot plots, or bubble maps.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.ccc_heatmap.html	references/omicverse/functions/omicverse.pl.ccc_heatmap.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.ccc_network_plot	Plot cell-cell communication networks with multiple graph styles.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.ccc_network_plot.html	references/omicverse/functions/omicverse.pl.ccc_network_plot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.ccc_stat_plot	Plot communication summaries, distributions, and pathway statistics.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.ccc_stat_plot.html	references/omicverse/functions/omicverse.pl.ccc_stat_plot.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.cell_cor_heatmap	Compute pairwise correlation/similarity between cell groups and plot as heatmap.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.cell_cor_heatmap.html	references/omicverse/functions/omicverse.pl.cell_cor_heatmap.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.CellChatViz	Visualization helper for CellPhoneDB cell-cell communication outputs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.CellChatViz.html	references/omicverse/functions/omicverse.pl.CellChatViz.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.cellproportion	Plot cell proportion of each cell type in each visual cluster.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.cellproportion.html	references/omicverse/functions/omicverse.pl.cellproportion.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pl.complexheatmap	Generate a complex annotated heatmap using PyComplexHeatmap.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pl.complexheatmap.html	references/omicverse/functions/omicverse.pl.complexheatmap.md	2026-08-03T14:16:23+00:00
